," 作者:Stoica, Petre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 80 (在纳入 h-Index 的 718 文献中，有 80 篇已被至少引用 80 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
1998,On the Cramér-Rao bound under parametric constraints,"Stoica P., Ng B.C.",10709908,IEEE Signal Processing Letters,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,8,3,8,12,10,12,6,8,9,8,9,12,10,12,15,13,17,19,5,0,206
1990,Novel eigenanalysis method for direction estimation,"Stoica P., Sharman K.C.",1437070,"IEE proceedings. Part F. Communications, radar and signal processing",137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,6,3,6,7,6,7,6,2,5,5,7,6,3,7,11,4,3,5,10,10,14,9,12,9,10,3,0,187
1996,Estimation of the directions of arrival of spatially dispersed signals in array processing,"Meng Y., Stoica P., Wong K.M.",13502395,"IEE Proceedings: Radar, Sonar and Navigation",143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,8,5,10,11,12,8,10,11,14,7,6,3,7,8,7,13,8,6,12,10,2,0,184
2003,On parameter estimation of MIMO flat-fading channels with frequency offsets,"Besson O., Stoica P.",1053587X,IEEE Transactions on Signal Processing,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,14,19,29,10,16,9,12,15,9,3,3,6,11,8,2,0,179
2000,Decoupled estimation of DOA and angular spread for a spatially distributed source,"Besson O., Stoica P.",1053587X,IEEE Transactions on Signal Processing,48,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,11,10,10,12,11,14,11,7,4,5,7,7,2,7,10,10,14,13,1,0,178
2004,"Cyclic minimizers, majorization techniques, and the expectation-maximization algorithm: A refresher","Stoica P., Selen Y.",10535888,IEEE Signal Processing Magazine,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,14,6,6,11,10,7,11,10,8,18,13,19,27,3,0,172
2006,Multistatic adaptive microwave imaging for early breast cancer detection,"Xie Y., Guo B., Xu L., Li J., Stoica P.",189294,IEEE Transactions on Biomedical Engineering,53,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,11,21,11,13,7,13,21,13,18,11,7,1,0,167
2010,Fully automatic computation of diagonal loading levels for robust adaptive beamforming,"Du L., Li J., Stoica P.",189251,IEEE Transactions on Aerospace and Electronic Systems,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,9,20,14,13,15,26,24,25,8,0,166
2006,Adaptive techniques for mimo radar,"Xu L., Li J., Stoica P.",,"2006 IEEE Sensor Array and Multichannel Signal Processing Workshop Proceedings, SAM 2006",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,18,17,18,19,13,12,11,11,5,4,5,1,0,166
2011,Sparse learning via iterative minimization with application to MIMO radar imaging,"Tan X., Roberts W., Li J., Stoica P.",1053587X,IEEE Transactions on Signal Processing,59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,23,28,17,16,17,22,18,7,0,165
2008,On using a priori knowledge in space-time adaptive processing,"Stoica P., Li J., Zhu X., Guerci J.R.",1053587X,IEEE Transactions on Signal Processing,56,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,16,10,13,15,17,14,13,15,12,20,7,0,162
2003,Training Sequence Design for Frequency Offset and Frequency-Selective Channel Estimation,"Stoica P., Besson O.",906778,IEEE Transactions on Communications,51,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,9,11,15,15,13,17,11,15,17,16,5,3,4,2,2,1,0,159
1998,Maximum likelihood methods in radar array signal processing,"Lee Swindlehurst A., Stoica P.",189219,Proceedings of the IEEE,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,10,8,8,8,5,8,10,13,9,9,6,4,7,7,5,3,5,8,10,2,0,157
1991,Statistical Analysis of MUSIC and Subspace Rotation Estimates of Sinusoidal Frequencies,"Stoica P., Soderstrom T.",1053587X,IEEE Transactions on Signal Processing,39,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,11,4,5,7,5,3,6,7,4,5,9,4,8,8,8,4,4,4,2,6,5,4,5,7,2,3,2,0,149
