," 作者:Mangasarian, Olvi L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 53 (在纳入 h-Index 的 150 文献中，有 53 篇已被至少引用 53 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
2009,A generalized Newton method for absolute value equations,Mangasarian O.L.,18624472,Optimization Letters,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,9,7,9,13,12,10,17,17,2,0,110
1994,Multicategory discrimination via linear programming,"Bennett K.P., Mangasarian O.L.",10556788,Optimization Methods and Software,3, 1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,2,3,2,4,6,8,13,9,3,6,7,5,3,7,2,6,4,4,2,7,1,0,110
1988,A simple characterization of solution sets of convex programs,Mangasarian O.L.,1676377,Operations Research Letters,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,1,2,2,1,3,2,1,0,0,1,3,4,3,4,3,5,2,4,8,8,9,4,4,8,5,7,4,0,106
1968,Multisurface Method of Pattern Separation,Mangasarian O.L.,189448,IEEE Transactions on Information Theory,14,6,0,0,0,2,2,0,0,0,1,2,1,2,1,0,0,1,0,0,1,0,2,1,2,1,3,2,3,3,3,6,3,4,3,2,3,4,7,6,6,3,3,2,1,4,2,5,1,0,2,2,2,2,0,106
1987,"LIPSCHITZ CONTINUITY OF SOLUTIONS OF LINEAR INEQUALITIES, PROGRAMS AND COMPLEMENTARITY PROBLEMS.","Mangasarian O.L., Shiau T.-H.",3630129,SIAM Journal on Control and Optimization,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,5,5,4,4,7,3,4,2,4,1,1,2,0,1,1,2,2,0,2,5,6,3,2,7,7,5,3,4,4,0,105
2000,Robust linear and support vector regression,"Mangasarian O.L., Musicant D.R.",1628828,IEEE Transactions on Pattern Analysis and Machine Intelligence,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,3,6,7,5,6,3,14,5,4,3,6,3,2,6,5,5,4,0,103
1979,NONLINEAR PERTURBATION OF LINEAR PROGRAMS.,"Mangasarian O.L., Meyer R.R.",3630129,SIAM Journal on Control and Optimization,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1,2,2,2,3,1,3,1,2,3,2,2,3,3,4,4,4,2,4,1,3,5,5,4,1,9,3,2,5,2,4,2,0,99
2007,Absolute value programming,Mangasarian O.L.,9266003,Computational Optimization and Applications,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,11,8,8,8,14,8,12,10,1,0,96
2006,Exact 1-norm support vector machines via unconstrained convex differentiate minimization,Mangasarian O.L.,15337928,Journal of Machine Learning Research,7, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,5,10,4,9,6,12,7,11,7,7,7,3,0,92
1964,Two-person nonzero-sum games and quadratic programming,"Mangasarian O.L., Stone H.",0022247X,Journal of Mathematical Analysis and Applications,9,3,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,2,3,4,2,2,1,1,2,1,4,3,2,4,4,6,8,6,7,6,7,4,0,92
2007,Absolute value equation solution via concave minimization,Mangasarian O.L.,18624472,Optimization Letters,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,9,9,8,11,9,10,10,9,1,0,90
1997,Mathematical programming in data mining,Mangasarian O.L.,13845810,Data Mining and Knowledge Discovery,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,4,7,5,7,5,10,7,8,6,1,3,2,2,1,5,0,1,2,0,0,82
1995,Image analysis and machine learning applied to breast cancer diagnosis and prognosis,"Wolberg W.H., Street W.N., Mangasarian O.L.",8846812,Analytical and Quantitative Cytology and Histology,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,4,0,2,0,0,3,10,4,3,3,6,3,5,3,5,6,4,4,4,4,1,0,81
2003,Finite Newton method for Lagrangian support vector machine classification,"Fung G., Mangasarian O.L.",9252312,Neurocomputing,55, 1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,4,5,9,6,4,7,7,7,5,4,2,6,3,0,76
1995,Computer-derived nuclear features distinguish malignant from benign breast cytology,"Wolberg W.H., Street W.N., Heisey D.M., Mangasarian O.L.",468177,Human Pathology,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,1,0,3,5,6,4,5,7,3,5,8,2,1,5,3,2,6,1,0,75
1976,Linear complementarity problems solvable by A single linear program,Mangasarian O.L.,255610,Mathematical Programming,10,1,0,0,0,0,0,0,0,0,2,2,6,0,1,4,0,1,1,2,0,1,2,2,2,1,3,3,1,0,5,0,0,0,0,1,0,1,2,1,3,3,2,1,0,1,2,2,4,1,1,2,3,0,0,69
1979,Uniqueness of solution in linear programming,Mangasarian O.L.,243795,Linear Algebra and Its Applications,25, C,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,2,1,0,0,1,2,0,1,1,0,1,0,0,1,0,1,0,2,0,4,1,1,0,2,2,2,5,5,0,8,3,3,3,4,3,1,0,66
2004,Knowledge-based kernel approximation,"Mangasarian O.L., Shavlik J.W., Wild E.W.",15324435,Journal of Machine Learning Research,5, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,8,8,7,8,3,3,3,4,2,1,1,0,1,0,64
1993,Bilinear separation of two sets in n-space,"Bennett K.P., Mangasarian O.L.",9266003,Computational Optimization and Applications,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,2,2,1,1,1,0,2,4,5,4,1,1,3,2,3,7,3,3,2,4,2,1,0,64
2002,Large scale kernel regression via linear programming,"Mangasarian O.L., Musicant D.R.",8856125,Machine Learning,46, 1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,5,7,3,9,5,3,6,5,3,2,2,1,3,0,0,63
1976,Superlinearly convergent quasi-newton algorithms for nonlinearly constrained optimization problems,"Palomares U.M.G., Mangasarian O.L.",255610,Mathematical Programming,11,1,0,0,0,0,0,0,0,0,1,1,2,2,2,5,3,1,2,3,2,4,1,3,0,2,3,1,2,2,2,3,0,1,0,0,0,0,2,1,2,0,1,0,3,1,0,0,1,1,1,0,0,0,0,61
